country,region,religions,politics
Djibouti,Eastern Africa,"{""Christian"": 2.3, ""Muslim"": 96.9, ""Irreligion"": 0.2, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.3, ""Other religion"": 0.0, ""Jewish"": 0.2}","[""Front for Restoration of Unity and Democracy (Front pour la Restauration de l'Unite Democratique) or FRUD"", ""National Democratic Party or PND"", ""People's Rally for Progress or RPP"", ""Peoples Social Democratic Party or PPSD"", ""Union for Democracy and Justice or UDJ"", ""Union for the Presidential Majority coalition or UMP"", ""Union of Reform Partisans or UPR""]"
Eritrea,Eastern Africa,"{""Christian"": 50.0, ""Muslim"": 48.0, ""Irreligion"": 0.1, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.4, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""People's Front for Democracy and Justice or PFDJ (the only party recognized by the government)""]"
Ethiopia,Eastern Africa,"{""Christian"": 67.3, ""Muslim"": 31.3, ""Irreligion"": 0.06, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 2.6, ""Other religion"": 0.0, ""Jewish"": 1.0}","[""Ethiopian Citizens for Social Justice and Democracy or EZEMA"", ""Gedeo People's Democratic Party"", ""Independent"", ""Kucha People Democratic Party"", ""National Movement of Amhara or NAMA"", ""Prosperity Party or PP""]"
French Southern Territories,Eastern Africa,"{""Christian"": 40.0, ""Muslim"": 5.0, ""Irreligion"": 50.0, ""Hindu"": 1.0, ""Buddhist"": 2.0, ""Folk religion"": 0.0, ""Other religion"": 1.0, ""Jewish"": 1.0}","[""French Souther Territories""]"
Kenya,Eastern Africa,"{""Christian"": 85.5, ""Muslim"": 10.9, ""Irreligion"": 1.6, ""Hindu"": 0.13, ""Buddhist"": 0.0, ""Folk religion"": 0.68, ""Other religion"": 1.15, ""Jewish"": 0.0}","[""Azimio La Umoja–One Kenya Coalition Party"", ""Amani National Congress or ANC"", ""Chama Cha Kazi or CCK"", ""Democratic Action Party or DAP-K"", ""Democratic Party or DP"", ""Forum for the Restoration of Democracy–Kenya or FORD-Kenya"", ""Grand Dream Development Party or GDDP"", ""Jubilee Party or JP"", ""Kenya African National Union or KANU"", ""Kenya Kwanza coalition"", ""Kenya Union Party or KUP"", ""Maendeleo Chap Chap Party or MCC"", ""Movement for Democracy and Growth or MDG"", ""National Agenda Party or NAP-K"", ""National Ordinary People Empowerment Union or NOPEU"", ""Orange Democratic Movement or ODM"", ""Pamoja African Alliance or PAA"", ""The Service Party or TSP"", ""United Democratic Alliance or UDA"", ""United Democratic Movement or UDM"", ""United Democratic Party or UDP"", ""United Party of Independent Alliance or UPIA"", ""United Progressive Alliance or UPA"", ""Wiper Democratic Movement-Kenya or WDM-K""]"
Madagascar,Eastern Africa,"{""Christian"": 84.7, ""Muslim"": 3.1, ""Irreligion"": 6.9, ""Hindu"": 0.05, ""Buddhist"": 0.0, ""Folk religion"": 4.5, ""Other religion"": 0.1, ""Jewish"": 0.0}","[""Group of Young Malagasy Patriots (Groupe des Jeunes Malgaches Patriotes) or GJMP"", ""I Love Madagascar (Tiako I Madagasikara) or TIM"", ""Isika Rehetra Miaraka amin'i Andry Rajoelina coalition or IRD"", ""Malagasy Aware (Malagasy Tonga Saina) or MTS"", ""Malagasy Tia Tanindrazana or MATITA or ANGADY"", ""Movement for Democracy in Madagascar (Mouvement pour la Démocratie à Madagascar) or MDM"", ""Rally for Democratic Socialism (Rassemblement pour Socialisme Démocratique - Nouveau) or RPSD Vaovao"", ""Young Malagasies Determined (Tanora Malagasy Vonona) or TGV""]"
Malawi,Eastern Africa,"{""Christian"": 77.33, ""Muslim"": 13.82, ""Irreligion"": 2.15, ""Hindu"": 0.02, ""Buddhist"": 0.03, ""Folk religion"": 1.06, ""Other religion"": 5.6, ""Jewish"": 0.0}","[""Democratic Progressive Party or DPP"", ""Malawi Congress Party or MCP"", ""People's Party or PP"", ""United Democratic Front or UDF"", ""United Transformation Movement or UTM""]"
Mauritius,Eastern Africa,"{""Christian"": 25.3, ""Muslim"": 16.7, ""Irreligion"": 0.6, ""Hindu"": 56.4, ""Buddhist"": 0.0, ""Folk religion"": 0.7, ""Other religion"": 0.3, ""Jewish"": 0.0}","[""Alliance Morisien (Mauritian Alliance)"", ""Jean-Claude Barbier Movement (Mouvement Jean-Claude Barbier) or MJCB"", ""Mauritian Militant Movement (Mouvement Militant Mauricien) or MMM"", ""Mauritian Social Democratic Party (Parti Mauricien Social Democrate) or PMSD"", ""Mauritius Labor Party (Parti Travailliste) or PTR or MLP"", ""Militant Platform (Plateforme Militante) or PM"", ""Militant Socialist Movement (Mouvement Socialist Mauricien) or MSM"", ""Muvman Liberater or ML"", ""National Alliance"", ""Patriotic Movement (Mouvement Patriotique) or MAG"", ""Rodrigues Peoples Organization (Organisation du Peuple Rodriguais) or OPR""]"
Mayotte,Eastern Africa,"{""Christian"": 0.7, ""Muslim"": 98.6, ""Irreligion"": 0.2, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.5, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Rassemblement des Mahorais (RD)"", ""Mouvement pour la France (MPF)"", ""Union des Démocrates et Indépendants (UDI)"", ""Parti Socialiste (PS)"", ""Rassemblement pour Mayotte (RPM)"", ""Mouvement des Jeunes de Mayotte (MJM)"", ""Parti Communiste Réunionnais (PCR)"", ""Union des Comores pour la Démocratie et le Progrès (UCDP)""]"
Mozambique,Eastern Africa,"{""Christian"": 62.0, ""Muslim"": 19.0, ""Irreligion"": 17.9, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 7.4, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Democratic Movement of Mozambique (Movimento Democratico de Mocambique) or MDM"", ""Liberation Front of Mozambique (Frente de Liberatacao de Mocambique) or FRELIMO"", ""Mozambican National Resistance (Resistencia Nacional Mocambicana) or RENAMO""]"
Réunion,Eastern Africa,"{""Christian"": 87.6, ""Muslim"": 4.2, ""Irreligion"": 2.0, ""Hindu"": 4.5, ""Buddhist"": 0.2, ""Folk religion"": 0.4, ""Other religion"": 1.1, ""Jewish"": 0.0}","[""Parti Socialiste (PS)"", ""Union des Démocrates et Indépendants (UDI)"", ""Les Républicains (LR)"", ""Parti Communiste Réunionnais (PCR)"", ""Parti Progrès et Démocratie Sociale (PPDS)"", ""Rassemblement des Réunionnais de France (RRF)"", ""La France Insoumise (LFI)"", ""Europe Écologie Les Verts (EELV)"", ""Mouvement Réunionnais pour la Démocratie (MRD)""]"
Rwanda,Eastern Africa,"{""Christian"": 93.8, ""Muslim"": 2.2, ""Irreligion"": 3.6, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.0, ""Other religion"": 0.2, ""Jewish"": 0.0}","[""Democratic Green Party of Rwanda or DGPR"", ""Liberal Party or PL"", ""Party for Progress and Concord or PPC"", ""Rwandan Patriotic Front or RPF"", ""Rwandan Patriotic Front Coalition (includes RPF, PPC, PSP, UDPR, PDI, PSR, PDC)"", ""Social Democratic Party or PSD"", ""Social Party Imberakuri or PS-Imberakuri""]"
Seychelles,Eastern Africa,"{""Christian"": 94.0, ""Muslim"": 1.1, ""Irreligion"": 2.1, ""Hindu"": 2.1, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.6, ""Jewish"": 0.0}","[""Seychelles Party for Social Justice and Democracy or SPSJD"", ""Seychellois Democratic Alliance or LDS (Linyon Demokratik Seselwa/Union Démocratique Seychelloise)"", ""Seychelles National Party or SNP"", ""United Seychelles or US""]"
Somalia,Eastern Africa,"{""Christian"": 0.01, ""Muslim"": 99.8, ""Irreligion"": 0.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 0.0, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Cosmopolitan Democratic Party"", ""Green Party"", ""Himilo Qaran Party"", ""Ilays Party"", ""Justice and Reconciliation Party"", ""National Progressive Party"", ""Peace and Unity Party"", ""Qaransoor Party"", ""Qiimo Qaran Party"", ""Security and Justice Party"", ""Social Justice Party"", ""Somali Labour Party"", ""Somali Republic Party"", ""Somali Social Unity Party or SSUP"", ""Union for Peace and Development Party or PDP"", ""Wadajir Party""]"
South Sudan,Eastern Africa,"{""Christian"": 60.5, ""Muslim"": 6.2, ""Irreligion"": 0.5, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 32.9, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Democratic Change or DC"", ""Democratic Forum or DF"", ""Labour Party or LPSS"", ""South Sudan Opposition Alliance or SSOA"", ""Sudan African National Union or SANU"", ""Sudan People's Liberation Movement or SPLM"", ""Sudan People’s Liberation Movement-In Opposition or SPLM-IO"", ""United Democratic Salvation Front or UDSF"", ""United South Sudan African Party or USSAP"", ""United South Sudan Party or USSP""]"
Uganda,Eastern Africa,"{""Christian"": 84.4, ""Muslim"": 13.7, ""Irreligion"": 0.5, ""Hindu"": 0.3, ""Buddhist"": 0.0, ""Folk religion"": 0.9, ""Other religion"": 0.1, ""Jewish"": 0.0}","[""Democratic Party or DP"", ""Forum for Democratic Change or FDC"", ""Justice Forum or JEEMA"", ""National Resistance Movement or NRM"", ""National Unity Platform"", ""People's Progressive Party or PPP"", ""Uganda People's Congress or UPC""]"
United Republic of Tanzania,Eastern Africa,"{""Christian"": 63.1, ""Muslim"": 34.1, ""Irreligion"": 1.4, ""Hindu"": 0.1, ""Buddhist"": 0.0, ""Folk religion"": 1.8, ""Other religion"": 0.07, ""Jewish"": 0.0}","[""Alliance for Change and Transparency (Wazalendo) or ACT-Wazalendo"", ""Civic United Front (Chama Cha Wananchi) or CUF"", ""Party of Democracy and Development (Chama Cha Demokrasia na Maendeleo) or CHADEMA"", ""Revolutionary Party of Tanzania (Chama Cha Mapinduzi) or CCM""]"
Zambia,Eastern Africa,"{""Christian"": 97.6, ""Muslim"": 1.0, ""Irreligion"": 0.5, ""Hindu"": 0.1, ""Buddhist"": 0.0, ""Folk religion"": 0.3, ""Other religion"": 0.9, ""Jewish"": 0.0}","[""Alliance for Democracy and Development or ADD"", ""Forum for Democracy and Development or FDD"", ""Movement for Multiparty Democracy or MMD"", ""Party of National Unity and Progress or PNUP"", ""Patriotic Front or PF"", ""United Party for National Development or UPND""]"
Zimbabwe,Eastern Africa,"{""Christian"": 87.5, ""Muslim"": 1.0, ""Irreligion"": 7.9, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 3.8, ""Other religion"": 0.3, ""Jewish"": 0.08}","[""Citizens Coalition for Change"", ""Movement for Democratic Change or MDC-T"", ""National People's Congress or NPC"", ""Zimbabwe African National Union-Patriotic Front or ZANU-PF"", ""Zimbabwe African Peoples Union or ZAPU""]"
Angola,Middle Africa,"{""Christian"": 92.9, ""Muslim"": 1.1, ""Irreligion"": 5.1, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 4.2, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Broad Convergence for the Salvation of Angola Electoral Coalition or CASA-CE"", ""Humanist Party of Angola or PHI"", ""National Front for the Liberation of Angola or FNLA; note - party has two factions"", ""National Union for the Total Independence of Angola or UNITA (largest opposition party)"", ""Popular Movement for the Liberation of Angola or MPLA; note- ruling party in power since 1975"", ""Social Renewal Party or PRS""]"
Cameroon,Middle Africa,"{""Christian"": 59.7, ""Muslim"": 20.2, ""Irreligion"": 5.3, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 3.3, ""Other religion"": 2.7, ""Jewish"": 0.0}","[""Alliance for Democracy and Development"", ""Cameroon People's Democratic Movement or CPDM"", ""Cameroon People's Party or CPP"", ""Cameroon Renaissance Movement or MRC"", ""Cameroonian Democratic Union or UDC"", ""Cameroonian Party for National Reconciliation or PCRN"", ""Front for the National Salvation of Cameroon or FSNC"", ""Movement for the Defense of the Republic or MDR"", ""Movement for the Liberation and Development of Cameroon or MLDC"", ""National Union for Democracy and Progress or UNDP"", ""Progressive Movement or MP"", ""Social Democratic Front or SDF"", ""Union of Peoples of Cameroon or UPC"", ""Union of Socialist Movements""]"
Central African Republic,Middle Africa,"{""Christian"": 89.5, ""Muslim"": 15.0, ""Irreligion"": 1.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.0, ""Other religion"": 0.0, ""Jewish"": 0.0}","[""Action Party for Development or PAD"", ""African Party for Radical Transformation and Integration of States or PATRIE"", ""Alliance for Democracy and Progress or ADP"", ""Be Africa ti e Kwe (also known as Central Africa for Us All or BTK)"", ""Central African Democratic Rally or RDC"", ""Central African Party for Integrated Development or PCDI"", ""Democratic Movement for the Renewal and Evolution of Central Africa or MDREC"", ""Kodro Ti Mo Kozo Si Movement or MKMKS"", ""Movement for Democracy and Development or MDD"", ""Movement for the Liberation of the Central African People or MLPC"", ""National Convergence (also known as Kwa Na Kwa or KNK)"", ""National Movement of Independents or MOUNI"", ""National Union for Democracy and Progress or UNDP"", ""National Union of Republican Democrats or UNADER"", ""New Impetus for Central Africa or CANE"", ""Party for Democracy and Solidarity - Kélémba or KPDS"", ""Party for Democratic Governance or PGD"", ""Path of Hope or CDE"", ""Renaissance for Sustainable Development or RDD"", ""Socialist Party or PS"", ""Transformation Through Action Initiative or ITA"", ""Union for Central African Renewal or URCA"", ""Union for Renaissance and Development or URD"", ""United Hearts Movement or MCU""]"
Chad,Middle Africa,"{""Christian"": 40.6, ""Muslim"": 58.0, ""Irreligion"": 2.5, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.4, ""Other religion"": 0.1, ""Jewish"": 0.0}","[""Chadian Convention for Peace and Development or CTPD"", ""Federation Action for the Republic or FAR"", ""National Rally for Development and Progress or Viva-RNDP"", ""National Union for Democracy and Renewal or UNDR"", ""Party for Unity and Reconstruction or PUR"", ""Patriotic Salvation Movement or MPS"", ""Rally for Democracy and Progress or RDP"", ""Rally of Chadian Nationalists/Awakening or RNDT/Le Reveil"", ""Social Democratic Party for a Change-over of Power or PDSA"", ""Union for Democracy and the Republic or UDR"", ""Union for Renewal and Democracy or URD"", ""Transformers""]"
Congo,Middle Africa,"{""Christian"": 85.9, ""Muslim"": 2.0, ""Irreligion"": 9.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 2.8, ""Other religion"": 1.1, ""Jewish"": 0.0}","[""Alliance of the Presidential Majority or AMP"", ""Action Movement for Renewal or MAR"", ""Citizen's Rally or RC"", ""Congolese Labour Party or PCT"", ""Congolese Movement for Democracy and Integral Development or MCDDI"", ""Congo on the Move or LCEM"", ""Movement for Unity, Solidarity, and Work or MUST"", ""Pan-African Union for Social Development or UPADS"", ""Club 2002-Party for the Unity and the Republic or Club 2002"", ""Patriotic Union for Democracy and Progress or UPDP"", ""Perspectives and Realities Club or CPR"", ""Rally for Democracy and Social Progress or RDPS"", ""Republican and Liberal Party or PRL"", ""Union of Democratic Forces or UDF"", ""Union for Democracy and Republic or UDR"", ""Union of Humanist Democrats or UDH-YUKI"", ""Union for the Republic or UR""]"
Democratic Republic of the Congo,Middle Africa,"{""Christian"": 95.8, ""Muslim"": 1.9, ""Irreligion"": 1.8, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.4, ""Other religion"": 0.1, ""Jewish"": 0.00003}","[""Christian Democrat Party or PDC"", ""Congolese Rally for Democracy or RCD"", ""Convention of Christian Democrats or CDC"", ""Engagement for Citizenship and Development or ECIDE"", ""Forces of Renewal or FR"", ""Movement for the Liberation of the Congo or MLC"", ""Nouvel Elan"", ""Our Congo or CNB (Congo Na Biso)"", ""People's Party for Reconstruction and Democracy or PPRD"", ""Social Movement for Renewal or MSR"", ""Together for Change (Ensemble)"", ""Unified Lumumbist Party or PALU"", ""Union for the Congolese Nation or UNC"", ""Union for Democracy and Social Progress or UDPS""]"
Equatorial Guinea,Middle Africa,"{""Christian"": 88.0, ""Muslim"": 2.0, ""Irreligion"": 5.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.7, ""Other religion"": 0.3, ""Jewish"": 0.0}","[""Center Right Union or UCD"", ""Convergence Party for Social Democracy or CPDS"", ""Democratic Party for Equatorial Guinea or PDGE"", ""Liberal Democratic Convention or CLD"", ""Liberal Party or PL"", ""National Congress of Equatorial Guinea (CNGE)"", ""National Democratic Party (PNDGE)"", ""National Democratic Union or UDENA"", ""National Union for Democracy PUNDGE"", ""Popular Action of Equatorial Guinea or APGE"", ""Popular Union or UP"", ""Progressive Democratic Alliance or ADP"", ""Social and Popular Convergence Party or CSDP"", ""Social Democratic Coalition Party (PCSD)"", ""Social Democratic Party of Equatorial Guinea or PSDGE"", ""Social Democratic Union or UDS"", ""Socialist Party of Equatorial Guinea""]"
Gabon,Middle Africa,"{""Christian"": 80.0, ""Muslim"": 10.0, ""Irreligion"": 7.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 1.0, ""Other religion"": 1.0, ""Jewish"": 0.0}","[""Gabonese Democratic Party or PDG"", ""Restoration of Republican Values or RV"", ""The Democrats or LD"", ""Paul Mba Abessole""]"
Sao Tome and Principe,Middle Africa,"{""Christian"": 85.0, ""Muslim"": 2.0, ""Irreligion"": 5.0, ""Hindu"": 0.0, ""Buddhist"": 0.0, ""Folk religion"": 2.0, ""Other religion"": 1.0, ""Jewish"": 0.0}","[""BASTA Movement"", ""Independent Democratic Action or ADI"", ""Movement for the Liberation of Sao Tome and Principe-Social Democratic Party or MLSTP-PSD"", ""Movement of Independent Citizens of São Tomé and Príncipe - Socialist Party or MCI-PS"", ""National Unity Party or PUN""]"
Botswana,Southern Africa,"{""Christian"": 72.1, ""Muslim"": 0.4, ""Irreligion"": 20.6, ""Hindu"": 0.3, ""Buddhist"": 0.0, ""Folk religion"": 6.0, ""Other religion"": 0.6, ""Jewish"": 0.0}","[""Alliance of Progressives or AP"", ""Botswana Congress Party or BCP"", ""Botswana Democratic Party or BDP"", ""Botswana National Front or BNF [Duma BOKO]Botswana Patriotic Front or BPF"", ""Botswana Peoples Party or BPP"", ""Botswana Republic Party or BRP"", ""Umbrella for Democratic Change or UDC (various times the coalition has included the BPP, BCP, BNF and other parties)""]"
Swaziland,Southern Africa,"{""Christian"": 88.10, ""Muslim"": 2.00, ""Irreligion"": 10.10, ""Hindu"": 0.10, ""Buddhist"": 0.00, ""Folk religion"": 1.00, ""Other religion"": 0.40, ""Jewish"": 0.00}","[""African United Democratic Party or AUDP"", ""Ngwane National Liberatory Congress or NNLC"", ""People's United Democratic Movement or PUDEMO"", ""Swazi Democratic Party or SWADEPA""]"
Lesotho,Southern Africa,"{""Christian"": 96.70, ""Muslim"": 0.10, ""Irreligion"": 3.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.10, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""All Basotho Convention or ABC"", ""Alliance of Democrats or AD"", ""Basotho Action Party or BAP"", ""Basotho National Party or BNP"", ""Democratic Congress or DC"", ""Democratic Party of Lesotho or DPL"", ""Lesotho People's Congress or LPC"", ""Movement of Economic Change or MEC"", ""National Independent Party or NIP"", ""Popular Front for Democracy of PFD"", ""Reformed Congress of Lesotho or RCL""]"
Namibia,Southern Africa,"{""Christian"": 97.50, ""Muslim"": 0.30, ""Irreligion"": 1.90, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.20, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""All People's Party or APP"", ""Christian Democratic Voice or CDV"", ""Landless People's Movement or LPM"", ""National Unity Democratic Organization or NUDO"", ""Namibian Economic Freedom Fighters or NEFF"", ""Popular Democratic Movement or PDM (formerly Democratic Turnhalle Alliance or DTA)"", ""Rally for Democracy and Progress or RDP"", ""Republican Party or RP"", ""South West Africa National Union or SWANU"", ""South West Africa People's Organization or SWAPO"", ""United Democratic Front or UDF"", ""United People's Movement or UPM""]"
